manchete,subtitulo,texto,data_publicacao,autor,classificacao_etaria,categoria
Sint voluptas voluptatibus quis.,Illum consequatur in aliquid qui illo quaerat quos harum dolore nemo.,Alias ad esse voluptatibus esse. Accusamus deleniti est ab dolore deserunt quas. Quos placeat consequuntur consectetur. Tempora exercitationem voluptates autem repellendus eaque. Deserunt blanditiis deserunt dolorum laborum beatae. Aperiam ipsam ullam earum facere.,2024-05-05,Valentim Vasconcelos,18,Esportes
Voluptas dignissimos non praesentium cum eveniet.,Exercitationem quas quidem quod ipsum corrupti officiis molestias magni optio quod.,Nostrum perspiciatis veritatis ea soluta corporis cupiditate. Ullam id sit pariatur ducimus. Ad omnis nobis optio. Impedit culpa alias et eum.,2024-04-02,Sabrina da Mota,0,Tecnologia
Aperiam repellendus cumque ab itaque.,Reiciendis facilis recusandae illum totam nulla illum odio autem dolores.,Iste fuga officia asperiores cum unde dolorum vero. Fugit nisi iusto distinctio iusto. Incidunt ducimus iusto ea veritatis. Tempore repellendus quia optio nihil ipsa. Commodi repudiandae quia explicabo laborum eaque laboriosam fugiat. Odio laudantium totam odit eius.,2024-08-16,Ian da Costa,12,Esportes
Earum esse facere culpa.,Laborum officiis sunt fugit optio aut dolorum expedita architecto consequuntur autem.,Eaque a possimus dolor. Laboriosam eum corrupti sed natus quos. Tempore sapiente beatae reprehenderit soluta ratione. Temporibus accusantium sequi esse illum. Soluta optio ducimus amet inventore perferendis veniam.,2024-03-06,Gabriela da Conceição,10,Tecnologia
Voluptatem rerum eligendi tempore neque ad iusto.,Magni et aliquid nostrum inventore quos perspiciatis nihil eum molestias magnam debitis culpa.,Placeat itaque ipsam minus odio. Non deserunt quasi ab cumque. Vel excepturi hic laboriosam tempora quia corrupti. Iure nulla laudantium error architecto. Repellat autem eos. Consequuntur similique eum unde.,2024-08-15,Dra. Maitê Caldeira,16,Ciência
Delectus commodi quam placeat omnis.,Facilis quae tempore doloribus suscipit autem dolorum sunt.,Officia temporibus repellat accusantium. Dicta iste officia saepe ad ea neque eaque. Est exercitationem quasi natus modi. Consectetur nam eaque alias. Nostrum eveniet quis delectus voluptates.,2023-12-30,Dante da Cunha,16,Ciência
Itaque ipsam rerum facilis.,Repudiandae quod consectetur quae nisi dolor maxime eius.,Eum rerum aliquam nisi saepe id corporis. Tempora praesentium possimus eos laudantium. Sint doloribus omnis quae dignissimos vero. Asperiores modi eveniet totam molestiae quasi ab nobis. Ipsa veritatis aut sapiente ratione aliquid fugit sunt. Sint soluta consequatur omnis amet eveniet similique.,2024-06-30,Guilherme Duarte,18,Esportes
Cupiditate possimus placeat cupiditate itaque non laudantium quisquam.,Tempore ipsam minima ea soluta commodi nam odit.,Excepturi modi tempore dignissimos nulla. Dolore quos laborum accusamus dolorum dolores. Sed omnis illum animi facere perferendis. Porro incidunt iste.,2024-11-23,Srta. Agatha das Neves,18,Tecnologia
A non consequuntur expedita.,Hic quae odit voluptate accusantium maxime iste distinctio.,Cumque ipsam porro ipsa nostrum necessitatibus repudiandae iste. Aliquam officiis dolorem accusantium quo atque. Expedita deserunt sequi repudiandae. Expedita optio porro. Voluptas officiis distinctio optio quasi.,2024-09-23,Luara Nunes,18,Tecnologia
Quis dolorum repellat quis nemo ex quis.,Qui quaerat eos labore veritatis repellat voluptas voluptatibus modi vero quae.,Illum dolorum labore iusto praesentium dicta consectetur hic. Aspernatur minima ipsa tempore. Suscipit voluptatem quaerat quod quia rerum.,2024-11-02,Antonella Aparecida,12,Entretenimento
Nihil explicabo temporibus sequi.,Fugiat libero commodi id vero dolor fugit aliquid adipisci reiciendis.,Corrupti esse excepturi perferendis quas ducimus voluptatum. Ea fugit quos. Laborum laborum dolorem odio. Praesentium qui harum. Magni occaecati cum repellat omnis.,2024-07-19,Raquel Correia,16,Entretenimento
Excepturi totam sequi velit asperiores neque aut.,Delectus autem maxime neque vitae repellendus non sed sapiente odio provident reiciendis maxime consectetur.,Fugiat esse officiis recusandae. Quia at minus iure ratione. Molestiae placeat accusantium alias totam. Dolores repellendus commodi porro assumenda. Culpa commodi adipisci quisquam nam natus.,2024-01-31,Henrique Almeida,18,Ciência
Ipsam provident suscipit.,Deleniti voluptatibus recusandae nihil laudantium sapiente illum similique magnam labore ducimus laborum nulla.,Non ad vero. Eius alias beatae ad qui cum ipsam. Quae commodi ipsa consequatur. Repudiandae maxime iste praesentium aliquam sint voluptatem nemo. Voluptas voluptatem minima esse magni.,2024-10-14,Felipe Melo,10,Ciência
Reiciendis dignissimos pariatur quisquam veritatis dolore.,Totam illo rem autem quo accusantium.,Natus tenetur nulla ratione fugiat. Sunt iusto culpa dolor. Veritatis cumque exercitationem officiis quidem quod.,2024-07-03,Allana Ferreira,18,Política
Neque earum non facere dolores.,Optio rerum nulla vel dolorum placeat impedit voluptate possimus.,Inventore deleniti eligendi consectetur nostrum amet ipsam. Nisi recusandae non aliquid sint quas. Dolorum amet neque error. Doloribus beatae inventore tempora officiis officiis.,2024-02-29,Lorenzo Cassiano,16,Esportes
Consequuntur quae consequatur cupiditate molestiae nulla.,Aspernatur rem libero reiciendis maxime odit maiores neque commodi.,Consequuntur exercitationem alias corrupti provident magni magni. Hic nemo molestias praesentium neque laborum. Quam tempore sed eligendi animi. Natus nisi iusto eos consequatur ad.,2024-05-24,Melissa Oliveira,0,Entretenimento
Iure suscipit earum incidunt atque culpa dolor.,Repudiandae odit facilis veritatis itaque repellat.,Ducimus minus cumque rem. Assumenda delectus perspiciatis ab. Facilis facilis laudantium quos error minima. Iure eum atque officiis. Corrupti accusamus natus quisquam repellat cum totam.,2024-03-14,Ana Julia Marques,14,Tecnologia
Blanditiis unde repellendus iusto.,Eum nulla asperiores non repellat optio atque nesciunt.,Exercitationem corrupti quibusdam iure dicta facilis maxime tenetur. Voluptas praesentium ducimus autem. Doloribus sunt exercitationem harum expedita ut quidem. Ducimus unde odio impedit. Vitae nobis ducimus voluptatem velit.,2024-07-14,Lorenzo Barros,12,Ciência
Saepe fugit pariatur aliquid.,Quibusdam ex harum omnis laboriosam magni labore.,Ut harum dignissimos in laborum corrupti. Ab hic quisquam quaerat reprehenderit. Odit porro impedit quo magni. Architecto ab alias nemo eum sunt nesciunt eos.,2024-09-16,Vitória Mendonça,18,Tecnologia
Iusto ab numquam exercitationem veniam beatae.,Mollitia repellendus quas doloribus reprehenderit recusandae tempora ab quisquam perspiciatis eveniet.,Minima qui facilis ab quod repellat sint. Possimus reprehenderit at ex dignissimos culpa officiis. Optio iste iure ab asperiores facere. Voluptas laborum vel vel voluptatem voluptatibus deserunt aliquam.,2024-04-08,Noah Jesus,18,Entretenimento
Vero mollitia modi cum.,Illum dicta quidem saepe delectus quia enim.,At animi quis dolore quaerat quasi sunt. Ratione accusamus sapiente laudantium tempore veniam minima odit. Architecto molestias consequuntur possimus vitae non. Harum expedita voluptates asperiores facilis. Vel minus illo deleniti ratione. Ratione aspernatur necessitatibus facere.,2024-01-30,Laís da Cunha,14,Política
Nesciunt porro quas accusamus quas dolorem eaque a.,Provident ad aspernatur quisquam minima necessitatibus commodi ut repellat similique vitae.,Consectetur porro laudantium laboriosam quo culpa. Ducimus culpa minus quod laborum quo. Nobis voluptas quos illo fugiat.,2024-03-21,Pedro Lucas da Rocha,16,Ciência
Expedita molestias iusto corporis aut nostrum.,Nemo ut occaecati deleniti ipsa officia quaerat ea quo dicta explicabo recusandae quis.,Tempore repudiandae ut velit. Tenetur magni vero minima. Exercitationem accusamus et aut doloremque delectus iste.,2024-10-01,Evelyn Fonseca,18,Tecnologia
Dolorum ea explicabo aperiam.,Hic odit fugiat corporis nostrum fugit accusantium.,Earum sequi perferendis corporis. Animi illo nam recusandae sed consequatur laudantium assumenda. Laudantium tempora dicta perferendis voluptas magni quam. Illo autem eveniet ea. Excepturi consequatur excepturi ipsa.,2024-08-15,Maria Isis Pinto,10,Ciência
Enim cumque accusantium commodi omnis.,Vel labore natus beatae blanditiis quo amet odit sit.,Magnam consectetur nobis architecto tenetur. Repellat tempore vel reprehenderit earum ipsam iste. Minima dolores eaque pariatur laborum. Molestiae ducimus nihil ducimus. Officia ratione quasi numquam. Provident amet totam incidunt nobis totam sint tenetur.,2024-03-27,Luiz Henrique Fogaça,18,Ciência
Incidunt libero libero ullam quia.,Delectus impedit fuga explicabo voluptatem ex occaecati architecto quod blanditiis dolorum.,Molestiae vero modi magni placeat omnis dolore. Debitis labore voluptate impedit ea consequuntur. Ipsum excepturi eos fugiat voluptatibus. Cumque cumque ab dolorem in ullam a in.,2024-04-05,Dra. Ana Sophia Cirino,0,Tecnologia
Autem labore ipsum modi non.,Earum itaque commodi alias nobis odio enim velit laboriosam nostrum velit.,In incidunt voluptate unde. Repellat dignissimos amet hic. Labore reprehenderit ab repellendus voluptas. Amet vel aliquam autem.,2024-04-10,Esther Peixoto,10,Política
Ab eveniet aliquid ex.,Repellendus perspiciatis necessitatibus molestias distinctio iure qui facilis corrupti aliquam.,Rem beatae necessitatibus repudiandae quidem esse cupiditate quisquam. Nisi vel quae repellendus tempora. Atque fugiat laboriosam natus excepturi atque expedita beatae.,2024-10-19,Maria Helena Rocha,14,Economia
Atque doloremque libero ducimus.,Incidunt officiis facilis nisi quae vitae adipisci harum necessitatibus voluptatem.,Sit consectetur laudantium accusamus eligendi. Repellat sapiente est laborum. Eos autem dignissimos. Accusamus ducimus inventore nisi vitae.,2024-01-17,Théo Alves,16,Entretenimento
Voluptatibus blanditiis porro nostrum natus eaque.,Nobis veniam iure dolore similique quia sed aperiam.,Sit asperiores non. Fugit quia cupiditate quod ducimus veritatis nesciunt. Saepe placeat recusandae sed minima. Ipsam reprehenderit dolores numquam illo iusto veniam laboriosam. Inventore vel quis expedita praesentium nobis eos quas.,2023-12-15,Ana Julia Borges,18,Entretenimento
Illo ut id voluptatem magnam omnis.,Consequatur voluptas officiis facere vel eveniet perferendis assumenda.,Repellendus unde velit dignissimos voluptatem sunt corporis. Fugiat magni a consequuntur. Praesentium vitae tempore distinctio quia. Occaecati officia laborum expedita officiis. Cumque atque similique hic. Dolorum accusamus atque magni at delectus provident.,2024-08-07,José Duarte,12,Economia
Voluptate pariatur dolor dicta consequuntur facere.,Reiciendis saepe amet vitae esse quisquam temporibus neque.,Dicta ipsam corporis. Ex ducimus ea delectus sit deleniti facere. Excepturi ut nemo nihil. Praesentium quia quam laboriosam. Sit tenetur eveniet autem illo expedita veritatis. Quae quas repellat veritatis iure laborum in saepe.,2024-05-16,Letícia Santos,16,Ciência
Corrupti nemo quibusdam sit aspernatur perferendis.,Maxime odit dolor fugiat minus aliquam minima explicabo amet.,Consequuntur odio a aliquid neque accusamus explicabo. Harum atque consequuntur omnis dolores recusandae officiis. Est optio assumenda quos nemo qui. Voluptate cupiditate magnam vel facilis. Ullam tenetur doloribus accusamus consectetur harum perspiciatis.,2024-03-30,Mariana da Mota,0,Política
Eligendi laboriosam doloribus nam quis.,Fugiat quasi excepturi hic quisquam sint ut reprehenderit expedita cumque at iusto.,Facere iure illum rem illum repellendus. Quia qui quisquam dolorem. Quis asperiores molestias incidunt adipisci repellendus sunt doloribus. Quas exercitationem expedita excepturi. Nobis libero laboriosam neque. Quaerat deleniti esse eum et pariatur dolore.,2024-03-23,Thiago Jesus,14,Economia
Voluptatum nihil molestias modi ipsam neque.,Illo molestiae totam quaerat aut corporis libero totam odio quasi placeat animi.,Quod omnis repudiandae harum aliquam. Dolores dolores harum molestiae. Laborum libero corrupti repellat iste mollitia labore. Vitae rerum animi. Nulla expedita occaecati sunt necessitatibus totam accusamus quas. Fugit neque commodi amet.,2024-04-23,Nathan da Luz,14,Ciência
Ullam laudantium asperiores distinctio eos sequi facilis.,Reiciendis officia porro voluptatum beatae esse eaque.,Ipsa vel qui voluptatem expedita numquam quasi. Sequi velit nostrum unde provident labore laborum itaque. Accusantium incidunt voluptatibus at unde ad.,2024-05-18,Sophie Cassiano,12,Política
Nobis assumenda assumenda commodi nesciunt corporis.,Quam natus blanditiis perspiciatis perspiciatis fuga consequuntur quae.,Enim commodi eos occaecati perspiciatis debitis repudiandae. Explicabo veritatis minus sequi ratione. Sunt ratione officiis delectus distinctio alias veniam delectus. Assumenda voluptatibus labore repudiandae numquam placeat ullam. Labore ipsam animi provident molestiae.,2024-11-05,Bárbara da Mata,18,Esportes
Quod fugit nostrum atque quia tenetur blanditiis aperiam.,Minima asperiores exercitationem corporis placeat odio quaerat sequi consequatur.,Aliquid dolorem nihil voluptatibus incidunt. Et adipisci mollitia culpa expedita. Dolor voluptas provident quas fugiat doloremque. Iure dolorum vel iusto similique.,2024-09-10,Isadora Silva,0,Ciência
Sunt nesciunt maiores corrupti officiis voluptas amet.,Corrupti aliquam dolores possimus minima quos culpa eaque illum earum.,Nobis quisquam consectetur aliquid. Ipsam consequuntur esse aspernatur omnis. Facilis velit reiciendis corrupti perspiciatis corporis. Nihil atque et occaecati quibusdam neque. Ipsum hic doloribus molestias. Earum quas nostrum doloribus accusamus.,2024-03-08,Srta. Jade Souza,14,Ciência
Sed cumque enim doloribus alias perferendis.,Quos minus veniam deserunt eius dolor doloremque totam accusantium.,Rem exercitationem odio quis recusandae. Omnis id ea vero quibusdam. Aperiam odio consequatur.,2024-08-13,Enzo Guerra,16,Política
Rerum exercitationem explicabo animi.,Aspernatur ullam unde alias et quo autem corrupti aspernatur veritatis.,Commodi aliquam fugiat rerum. Neque eum iste consequatur. Quae asperiores quas placeat.,2023-12-26,Augusto Nunes,12,Esportes
Ad sunt unde incidunt.,Atque alias modi expedita officia quaerat architecto sapiente nisi minima.,Voluptatibus magnam sequi. Ipsa dolores repellendus vero veritatis quae laudantium in. Ratione ipsum facilis impedit error iusto delectus ut. Veritatis labore tempora itaque. Voluptas sint sequi accusantium.,2023-12-14,Luiz Fernando Silva,0,Política
Fuga ipsum at animi minima distinctio fugit.,Quisquam molestiae eum architecto libero eaque adipisci.,Sed esse saepe adipisci autem. Ab aliquam blanditiis error. Error quae totam molestiae aut.,2024-11-19,Dom Duarte,14,Ciência
Perspiciatis nobis nihil ea.,Neque unde soluta sapiente maiores expedita ratione ex maiores vel enim.,Similique ipsum amet at fugit laudantium laborum. Tenetur fugit veniam unde. Accusantium ad eius sint. Rerum culpa adipisci.,2024-05-22,Yuri Cirino,16,Entretenimento
Incidunt alias rem et quas sapiente ratione.,Animi occaecati necessitatibus ipsa architecto dolorum ea numquam.,Officia dolorum sed dolorum repellat veniam provident alias. Voluptate architecto cumque ea culpa adipisci impedit. Quos eius alias consectetur quaerat praesentium. Dolore impedit pariatur provident. Placeat fugit voluptatibus. Molestias accusantium temporibus voluptate tenetur porro quam.,2024-08-08,Daniel Nunes,0,Política
